,Unnamed: 0_x,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,format,Unnamed: 0_y,Span,Mat_y,Inns_y,Balls,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
19,19.0,S Dhawan (INDIA),145.0,142.0,8.0,6105.0,143,45.55,6509.0,93.79,17.0,33.0,5.0,763,72,odi,,,,,,,,,,,,
20,20.0,DL Haynes (WI),238.0,237.0,28.0,8648.0,152*,41.37,13707.0,63.09,17.0,57.0,13.0,768+,53+,odi,,,,,,,,,,,,
21,21.0,JH Kallis (Afr/ICC/SA),328.0,314.0,53.0,11579.0,139,44.36,15885.0,72.89,17.0,86.0,17.0,911,137,odi,18.0,1996-2014,328.0,283.0,10750.0,8680.0,273.0,31.79,4.84,39.3,2.0,2.0
22,22.0,Q de Kock (SA),124.0,124.0,6.0,5355.0,178,45.38,5609.0,95.47,16.0,26.0,4.0,614,81,odi,,,,,,,,,,,,
23,23.0,JE Root (ENG),152.0,142.0,23.0,6109.0,133*,51.33,7034.0,86.84,16.0,35.0,5.0,491,44,odi,,,,,,,,,,,,
24,24.0,MJ Guptill (NZ),186.0,183.0,19.0,6927.0,237*,42.23,7896.0,87.72,16.0,37.0,15.0,702,181,odi,,,,,,,,,,,,
25,25.0,NJ Astle (NZ),223.0,217.0,14.0,7090.0,145*,34.92,9760.0,72.64,16.0,41.0,19.0,720,86,odi,,,,,,,,,,,,
26,26.0,AC Gilchrist (AUS/ICC),287.0,279.0,11.0,9619.0,172,35.89,9922.0,96.94,16.0,55.0,19.0,1162,149,odi,,,,,,,,,,,,
27,27.0,WU Tharanga (Asia/SL),235.0,223.0,17.0,6951.0,174*,33.74,9155.0,75.92,15.0,37.0,17.0,798,52,odi,,,,,,,,,,,,
28,28.0,V Sehwag (Asia/ICC/INDIA),251.0,245.0,9.0,8273.0,219,35.05,7929.0,104.33,15.0,38.0,14.0,1132,136,odi,,,,,,,,,,,,
29,29.0,Mohammad Yousuf (Asia/PAK),288.0,273.0,40.0,9720.0,141*,41.71,12942.0,75.1,15.0,64.0,15.0,785,90,odi,,,,,,,,,,,,
30,30.0,Babar Azam (PAK),83.0,81.0,11.0,3985.0,158,56.92,4449.0,89.57,14.0,17.0,3.0,360,41,odi,,,,,,,,,,,,
31,31.0,Tamim Iqbal (BAN),219.0,217.0,9.0,7666.0,158,36.85,9753.0,78.6,14.0,51.0,19.0,831,98,odi,,,,,,,,,,,,
32,32.0,EJG Morgan (ENG/IRE),246.0,228.0,34.0,7701.0,148,39.69,8439.0,91.25,14.0,47.0,16.0,654,220,odi,,,,,,,,,,,,
33,33.0,Yuvraj Singh (Asia/INDIA),304.0,278.0,40.0,8701.0,150,36.55,9924.0,87.67,14.0,52.0,18.0,908,155,odi,,,,,,,,,,,,
34,34.0,KS Williamson (NZ),151.0,144.0,14.0,6173.0,148,47.48,7551.0,81.75,13.0,39.0,5.0,563,49,odi,,,,,,,,,,,,
35,35.0,G Kirsten (SA),185.0,185.0,19.0,6798.0,188*,40.95,9436.0,72.04,13.0,45.0,11.0,659,20,odi,,,,,,,,,,,,
36,36.0,ME Trescothick (ENG),123.0,122.0,6.0,4335.0,137,37.37,5087.0,85.21,12.0,21.0,13.0,528,41,odi,,,,,,,,,,,,
