,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,Mat_y,Inns_y,Overs,Mdns,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
185,J Botha (SA),,,,,,,,,,,,,,40,39,129,1,823,37,22.24,6.37,20.9,0,0
186,Shapoor Zadran (AFG),,,,,,,,,,,,,,36,36,115.5,3,907,37,24.51,7.83,18.7,0,0
187,Khawar Ali (OMA),,,,,,,,,,,,,,34,32,97,0,634,36,17.61,6.53,16.1,2,0
188,JP Faulkner (AUS),,,,,,,,,,,,,,24,24,85.5,0,684,36,19,7.96,14.3,0,1
189,L Ngidi (SA),,,,,,,,,,,,,,23,23,78.5,0,706,36,19.61,8.95,13.1,1,0
190,N Vanua (PNG),,,,,,,,,,,,,,30,25,81.4,3,505,35,14.42,6.18,14,1,1
191,Hamid Hassan (AFG),,,,,,,,,,,,,,25,25,90.4,2,580,35,16.57,6.39,15.5,1,0
192,AG Cremer (ZIM),,,,,,,,,,,,,,29,28,95,1,660,35,18.85,6.94,16.2,0,0
193,AR Cusack (IRE),,,,,,,,,,,,,,37,33,101,3,714,35,20.4,7.06,17.3,3,0
194,Faheem Ashraf (PAK),,,,,,,,,,,,,,42,41,119.5,1,903,35,25.8,7.53,20.5,0,0
195,CH Morris (SA),,,,,,,,,,,,,,23,23,83,3,697,34,20.5,8.39,14.6,1,0
196,A Nehra (INDIA),,,,,,,,,,,,,,27,27,98,2,758,34,22.29,7.73,17.2,0,0
197,JH Davey (SCOT),,,,,,,,,,,,,,28,27,98.5,0,791,34,23.26,8,17.4,2,0
198,NM Coulter-Nile (AUS),,,,,,,,,,,,,,28,27,97,1,802,34,23.58,8.26,17.1,1,0
199,TL Chatara (ZIM),,,,,,,,,,,,,,30,30,108,1,841,34,24.73,7.78,19,0,0
200,Wahab Riaz (PAK),,,,,,,,,,,,,,36,35,118.2,2,971,34,28.55,8.2,20.8,0,0
201,CA Young (IRE),,,,,,,,,,,,,,42,40,131.3,1,1055,34,31.02,8.02,23.2,1,0
202,Amjad Javed (UAE),,,,,,,,,,,,,,22,22,74.2,1,560,33,16.96,7.53,13.5,0,0
203,Zahoor Khan (UAE),,,,,,,,,,,,,,26,26,88.3,1,581,33,17.6,6.56,16,1,0
204,LM Jongwe (ZIM),,,,,,,,,,,,,,22,21,72,0,611,33,18.51,8.48,13,1,0
205,D Wiese (NAM/SA),,,,,,,,,,,,,,31,31,105.2,0,802,33,24.3,7.61,19.1,0,1
206,JE Taylor (WI),,,,,,,,,,,,,,30,30,100,2,863,33,26.15,8.63,18.1,0,0
207,CB Mpofu (ZIM),,,,,,,,,,,,,,32,32,115.4,0,1035,33,31.36,8.94,21,1,0
208,Mujeeb Ur Rahman (AFG),,,,,,,,,,,,,,22,22,84,0,508,32,15.87,6.04,15.7,1,1
209,DT Johnston (IRE),,,,,,,,,,,,,,30,28,99,5,636,32,19.87,6.42,18.5,1,0
210,JR Hazlewood (AUS),,,,,,,,,,,,,,24,24,90.4,2,707,32,22.09,7.79,17,2,0
211,AF Milne (NZ),,,,,,,,,,,,,,31,31,108.5,2,854,32,26.68,7.84,20.4,1,0
212,BM Scholtz (NAM),,,,,,,,,,,,,,27,27,86.4,0,513,31,16.54,5.91,16.7,1,0
213,Waseem Abbas (MLT),,,,,,,,,,,,,,23,23,80,1,591,31,19.06,7.38,15.4,1,1
214,Sompal Kami (NEPAL),,,,,,,,,,,,,,33,33,106,2,729,31,23.51,6.87,20.5,0,0
215,SN Thakur (INDIA),,,,,,,,,,,,,,24,23,80.2,0,739,31,23.83,9.19,15.5,1,0
216,R Rampaul (WI),,,,,,,,,,,,,,27,27,95.5,1,803,31,25.9,8.37,18.5,0,0
217,Mohammad Saifuddin (BAN),,,,,,,,,,,,,,29,29,100,0,826,31,26.64,8.26,19.3,1,0
218,CR Brathwaite (WI),,,,,,,,,,,,,,41,39,118.1,1,1013,31,32.67,8.57,22.8,0,0
219,CW Perchard (JER),,,,,,,,,,,,,,21,19,68.5,0,380,30,12.66,5.52,13.7,2,1
220,BD Glover (NED),,,,,,,,,,,,,,21,21,71,0,481,30,16.03,6.77,14.2,2,0
221,Amir Hamza (AFG),,,,,,,,,,,,,,33,33,111,2,752,30,25.06,6.77,22.2,0,0
222,MJ McClenaghan (ICC/NZ),,,,,,,,,,,,,,29,29,101.2,2,789,30,26.3,7.78,20.2,0,0
223,Karim Janat (AFG),,,,,,,,,,,,,,32,31,101.1,0,838,30,27.93,8.28,20.2,0,1
224,Ahmed Raza (UAE),,,,,,,,,,,,,,45,44,151,2,969,30,32.3,6.41,30.2,0,0
225,KW Richardson (AUS),,,,,,,,,,,,,,26,26,89,0,705,29,24.31,7.92,18.4,0,0
226,Simi Singh (IRE),,,,,,,,,,,,,,37,37,110.2,0,835,29,28.79,7.56,22.8,0,0
227,TK Curran (ENG),,,,,,,,,,,,,,30,29,98,1,907,29,31.27,9.25,20.2,1,0
228,D Heyliger (CAN),,,,,,,,,,,,,,17,17,59.4,0,394,28,14.07,6.6,12.7,2,1
229,DP Nannes (AUS/NED),,,,,,,,,,,,,,17,16,61,2,459,28,16.39,7.52,13,1,0
230,RM Haq (SCOT),,,,,,,,,,,,,,21,20,75,1,472,28,16.85,6.29,16,0,0
231,DG Blampied (JER),,,,,,,,,,,,,,23,23,77.4,1,498,28,17.78,6.41,16.6,1,0
232,SW Tait (AUS),,,,,,,,,,,,,,21,21,79.4,2,589,28,21.03,7.39,17,0,0
233,Mohammed Nadeem (QAT),,,,,,,,,,,,,,26,26,91,0,615,28,21.96,6.75,19.5,1,0
234,IK Pathan (INDIA),,,,,,,,,,,,,,24,23,77,1,618,28,22.07,8.02,16.5,0,0
235,KM Jarvis (ZIM),,,,,,,,,,,,,,22,22,74.4,0,665,28,23.75,8.9,16,0,0
236,B Lee (AUS),,,,,,,,,,,,,,25,25,90.5,0,714,28,25.5,7.86,19.4,0,0
237,MM Ali (ENG),,,,,,,,,,,,,,44,37,95.1,1,761,28,27.17,7.99,20.3,0,0
238,A Dananjaya (SL),,,,,,,,,,,,,,31,31,110.5,1,909,28,32.46,8.2,23.7,0,0
239,Rubel Hossain (BAN),,,,,,,,,,,,,,28,27,96.3,0,912,28,32.57,9.45,20.6,0,0
240,HS Baidwan (CAN),,,,,,,,,,,,,,17,17,53.5,1,411,27,15.22,7.63,11.9,1,0
241,Pavandeep Singh (MAL),,,,,,,,,,,,,,22,22,78.1,1,536,27,19.85,6.85,17.3,0,0
242,B Stanlake (AUS),,,,,,,,,,,,,,19,19,70,2,544,27,20.14,7.77,15.5,1,0
243,ST Finn (ENG),,,,,,,,,,,,,,21,21,80,0,583,27,21.59,7.28,17.7,0,0
244,I Udana (SL),,,,,,,,,,,,,,35,32,105.1,1,915,27,33.88,8.7,23.3,0,0
245,D Ravu (PNG),,,,,,,,,,,,,,20,19,52.1,0,324,26,12.46,6.21,12,1,1
246,MC Sorensen (IRE),,,,,,,,,,,,,,26,22,65,2,471,26,18.11,7.24,15,0,0
247,KJ Abbott (SA),,,,,,,,,,,,,,21,21,72.4,0,579,26,22.26,7.96,16.7,0,0
